RecordNumber,Unusual Flag,Nasa60?,ProjectID,PARENT,ELEMENT,Category,F or G,Center,Start Year,Language,New KLOC,Reused KLOC,Modified KLOC,Logical EKLOC,ACT_EFFORT,Model,prec,flex,resl,team,pmat,rely,cplx,data,ruse,time,stor,pvol,acap,pcap,pcon,apex,plex,ltex,tool,sced,site,docu,Start Date,End Date,Delivered Logical KLOC,Physical Delivered KLOC,Ported KLOC,%DM,%CM,%IM,Actual Schedule,productivity per day,Physical EKLOC
61,0,0,G,FDS-X,Executive,Operating System,G,5,1976,Fortran,63,0,0,63,458,cocomoII,4.96,4.05,5.65,3.29,4.68,1.1,1.74,1,1,1.11,1.05,0.87,0.85,1,1,1,0.91,0.91,1.09,1,0.93,1.11,10/15/76,6/15/82,63,70,0,0,0,0,0,6.877729258,70
62,0,0,G,FDS-X,P&U,Utility,G,5,1979,fortran,243.9,0,0,243.9,2460,cocomoII,4.96,4.05,5.65,3.29,4.68,1.1,1.74,1,1,1.11,1.05,0.87,0.85,1,1,1,0.91,0.91,1.09,1,0.93,1.11,6/15/79,6/15/82,243.9,271,0,0,0,0,0,4.957317073,271
63,0,0,G,MFS,Com,Avionics Monitoring,G,5,1971,Assembly,12,50,28,90,162,cocomoII,0,0,0,0,6.24,1,1,1,1,1,1,0.87,0.85,0.88,1,0.88,1,0.91,1.17,1,0.93,0.91,6/1/71,5/1/83,90,90,0,0,0,0,0,27.77777778,90
64,0,0,G,MFS,C&M,Avionics Monitoring,G,5,1980,Fortran IV-Plus,36,0,0,36,150,cocomoII,0,0,0,0,6.24,1,1,1,1,1,1,0.87,0.85,0.88,1,0.88,1,0.91,1.17,1,0.93,0.91,6/1/80,12/1/82,36,40,0,0,0,0,0,12,40
65,0,0,G,MFS,D&P,Avionics Monitoring,G,5,1979,"Assembly, Fortran, C",123.3,0,0,123.3,636,cocomoII,4.96,4.05,5.65,3.29,6.24,1.1,1.17,1,1,1.11,1,0.87,0.85,0.88,1,0.88,1,0.91,1.17,1,0.93,1.11,1/1/79,5/1/83,123.3,137,0,0,0,0,0,9.693396226,137
66,0,0,G,MFS,MCS,Avionics Monitoring,G,5,1977,Assembly,150,0,0,150,882,cocomoII,4.96,4.05,5.65,3.29,6.24,1.1,1.17,1,1,1.11,1,1.15,0.85,0.88,1,0.88,1,0.91,1.17,1,0.93,1.11,10/1/77,1/1/83,150,150,0,0,0,0,0,8.503401361,150
67,0,0,G,MFS,NIP,Avionics Monitoring,G,5,1976,Assembly,339,0,0,339,444,cocomoII,4.96,4.05,5.65,3.29,6.24,1.26,1.17,1,1,1.11,1,0.87,0.85,0.88,1,0.88,1,0.91,1.17,1,0.93,1.11,5/1/76,10/1/80,339,339,0,0,0,0,0,38.17567568,339
68,0,0,G,MFS,WS,Avionics Monitoring,G,5,1983,C,180,0,0,180,192,cocomoII,0,0,0,0,6.24,0.92,0.87,1.14,1,1,1,1.15,0.85,0.88,1,0.88,1,0.91,1.17,1,0.93,0.91,6/1/83,1/1/86,180,240,0,0,0,0,0,46.875,240
69,0,0,G,MMS,Command,Avionics Monitoring,G,5,1978,assembly,144,0,0,144,576,cocomoII,2.48,2.03,2.83,1.1,7.8,1.1,1.17,1,1,1,1.17,0.87,0.85,0.88,1,0.88,0.91,0.91,1.17,1.14,0.93,1,12/15/78,6/15/85,144,144,0,0,0,0,0,12.5,144
70,0,0,G,MMS,CSS/Control CTL),Avionics Monitoring,G,5,1979,assembly,151,0,0,151,432,cocomoII,2.48,2.03,2.83,1.1,7.8,1,1,0.9,1,1,1.17,0.87,0.85,0.88,1,0.88,0.91,0.91,1.17,1.14,0.93,1,1/15/79,6/15/85,151,151,0,0,0,0,0,17.47685185,151
71,0,0,G,MMS,HC,Avionics Monitoring,G,5,1979,assembly,34,0,0,34,72,cocomoII,2.48,2.03,2.83,1.1,7.8,1,1.17,0.9,1,1,1.17,0.87,0.85,0.88,1,0.88,0.91,0.91,1.17,1.14,0.93,1,6/15/79,1/15/85,34,34,0,0,0,0,0,23.61111111,34
72,0,0,G,MMS,NRT,Avionics Monitoring,G,5,1979,assembly,98,0,0,98,300,cocomoII,2.48,2.03,2.83,1.1,7.8,1,1.17,1,1,1,1.17,0.87,0.85,0.88,1,0.88,0.91,0.91,1.17,1.14,0.93,1,6/15/79,6/15/85,98,98,0,0,0,0,0,16.33333333,98
73,0,0,G,MMS,NC,Avionics Monitoring,G,5,1979,assembly,85,0,0,85,300,cocomoII,2.48,2.03,2.83,1.1,7.8,1,1.17,1,1,1,1.17,0.87,0.85,0.88,1,0.88,0.91,0.91,1.17,1.14,0.93,1,1/15/79,3/15/85,85,85,0,0,0,0,0,14.16666667,85
74,0,0,G,MMS,NSS,Avionics Monitoring,G,5,1982,assembly,20,0,0,20,240,cocomoII,2.48,2.03,2.83,1.1,7.8,1,1,0.9,1,1,1.17,0.87,0.85,0.88,1,0.88,0.91,0.91,1.17,1.14,0.93,1,1/15/82,3/15/85,20,20,0,0,0,0,0,4.166666667,20
75,0,0,G,MMS,SC,Avionics Monitoring,G,5,1978,assembly,111,0,0,111,600,cocomoII,2.48,2.03,2.83,1.1,7.8,1,1,0.9,1,1,1.17,0.87,0.85,0.88,1,0.88,0.91,0.91,1.17,1.14,0.93,1,12/15/78,6/15/85,111,111,0,0,0,0,0,9.25,111
76,0,0,G,MMS,Telemetry,Avionics Monitoring,G,5,1978,assembly,162,0,0,162,756,cocomoII,2.48,2.03,2.83,1.1,7.8,1.1,1.17,1.28,1,1,1.17,0.87,0.85,0.88,1,0.88,0.91,0.91,1.17,1.14,0.93,1,12/18/78,12/15/85,162,162,0,0,0,0,0,10.71428571,162
77,0,0,G,MMS,Trajectory,Avionics Monitoring,G,5,1978,assembly,352,0,0,352,1200,cocomoII,2.48,2.03,2.83,1.1,7.8,1.1,1.34,1.14,1,1,1.17,0.87,0.85,0.88,1,0.88,0.91,0.91,1.17,1.14,0.93,1,12/18/78,12/15/85,352,352,0,0,0,0,0,14.66666667,352
78,0,0,G,MOS,OS,Operating System,G,5,1979,assembly,165,0,0,165,97,cocomoII,2.48,2.03,2.83,1.1,7.8,1.1,1.34,1,1,1,1.17,0.87,0.85,0.88,1,0.88,0.91,0.91,1.17,1.14,0.93,1,1/15/79,12/15/85,165,165,0,0,0,0,0,85.05154639,165
79,0,0,G,SFP,ADS,Mission Planning,G,5,1984,fortran,54,0,0,54,409,cocomoII,4.96,4.05,5.65,3.29,4.68,1.1,1.34,1,1,1.11,1.05,0.87,0.85,1,1,1,0.91,0.91,1,1,0.93,1.11,1/15/84,12/15/85,54,60,0,0,0,0,0,6.601466993,60
80,0,0,G,SFP,DDS,Mission Planning,G,5,1984,fortran77,90,0,0,90,703,cocomoII,4.96,4.05,5.65,3.29,4.68,1.1,1.34,1,1,1.11,1.05,0.87,0.85,1,1,1,0.91,0.91,1,1,0.93,1.11,1/15/84,12/15/85,90,100,0,0,0,0,0,6.40113798,100
81,0,0,E,OBS,DF,Avionics,F,2,1980,assembly,32,0,0,32,1350,cocomoII,4.96,4.05,5.65,3.29,6.24,1.1,1.34,1.28,1,1.63,1.46,1.15,1,1,1,1,1.09,1.09,1.17,1,0.93,1.11,10/1/80,9/1/84,32,32,0,0,0,0,0,1.185185185,32
82,0,0,E,OBS,NSS,Avionics,F,2,1980,assembly,37.1,0,15.9,45,480,cocomoII,4.96,4.05,5.65,3.29,4.68,1.1,1.17,1.14,1,1.29,1.46,1.15,0.85,0.88,1,0.88,0.91,0.91,1.17,1,0.93,1.11,10/1/80,9/1/84,53,53,0,0,0,0,0,4.6875,53
83,estimated effort,0,H,Experimental Computer,ECD,Science,F,3,1977,assembly,6.5,0,0,6.5,20.8,cocomoII,4.96,4.05,5.65,3.29,4.68,1.1,1,1.14,1,1,1.46,0.87,0.71,0.76,1,0.81,1.19,1.2,1.09,1,0.93,1.11,4/1/77,4/1/80,6.5,6.5,0,0,0,0,0,15.625,6.5
84,0,0,H,Experimental Computer,ECO,Avionics,F,3,1977,assembly,41,0,0,41,599,cocomoII,4.96,4.05,5.65,3.29,4.68,1.1,1.34,0.9,1,1.29,1.46,0.87,0.71,0.76,1,0.81,1.19,1.2,1.09,1,0.93,1.11,4/1/77,4/1/80,41,41,0,0,0,0,0,3.422370618,41
85,estimated effort,0,H,Experimental Computer,ECA,Science,F,3,1977,assembly,29,0,0,29,124.8,cocomoII,4.96,4.05,5.65,3.29,4.68,1.1,1.34,0.9,1,1.29,1.05,0.87,0.71,0.76,1,0.81,1.19,1.2,1.09,1,0.93,1.11,4/1/77,2/1/84,29,29,0,0,0,0,0,11.61858974,29
86,estimated effort,0,H,Subsystem Computer,SCA,Science,F,3,1977,assembly,75,0,0,75,574.7,cocomoII,4.96,4.05,5.65,3.29,4.68,1.1,1.34,0.9,1,1.29,1.46,0.87,0.71,0.76,1,0.81,1.19,1.2,1.09,1,0.93,1.11,4/1/77,2/1/84,75,75,0,0,0,0,0,6.525143553,75
87,estimated effort,0,H,Subsystem Computer,DCU,Avionics,F,3,1977,Assembly  ,10,0,0,10,67.7,cocomoII,4.96,4.05,5.65,3.29,4.68,1.1,1.34,0.9,1,1.29,1.46,1.15,0.71,0.76,1,0.81,1.19,1.2,1.09,1,0.93,1.11,4/1/77,2/1/84,10,10,0,0,0,0,0,7.385524372,10
88,estimated effort,0,H,Subsystem Computer,SL DB,Science,F,3,1977,assembly,64,0,0,64,323.2,cocomoII,4.96,4.05,5.65,3.29,4.68,1.1,1,1.14,1,1,1.46,0.87,0.71,0.76,1,0.81,1.19,1.2,1.09,1,0.93,1.11,4/1/77,2/1/84,64,64,0,0,0,0,0,9.900990099,64
89,0,0,H,Subsystem Computer,SCO,Avionics,F,3,1977,assembly,18,6,0,24,430,cocomoII,4.96,4.05,5.65,3.29,4.68,1.1,1.34,0.9,1,1.29,1.46,0.87,0.71,0.76,1,0.81,1.19,1.2,1.09,1,0.93,1.11,4/1/77,2/1/84,24,24,0,0,0,0,0,2.790697674,24
90,estimated effort,0,H,Experimental Computer,DEP,Avionics,F,3,1977,assembly,2.5,0,0,2.5,6,cocomoII,4.96,4.05,5.65,3.29,4.68,1,1,0.9,1,1,1.05,1.15,0.71,0.76,1,0.81,1.19,1.2,1.09,1,0.93,1.11,4/1/77,2/1/84,2.5,2.5,0,0,0,0,0,20.83333333,2.5
91,0,0,G,Application,GNC,Avionics,F,5,1977,assembly,165,0,0,165,4178.2,cocomoII,4.96,4.05,5.65,3.29,4.68,1.26,1.34,1.14,1,1.63,1.46,1,0.85,0.88,1,0.88,0.91,0.91,1.17,1,0.93,1.11,3/27/77,6/1/80,165,165,0,0,0,0,0,1.974534489,165
92,0,0,G,Application,SM/PL,Science,F,5,1977,assembly,65,0,0,65,1772.5,cocomoII,4.96,4.05,5.65,3.29,4.68,1.26,1.34,1.14,1,1.63,1.46,1,0.85,0.88,1,0.88,0.91,0.91,1.17,1,0.93,1.11,3/27/77,6/1/80,65,65,0,0,0,0,0,1.833568406,65
93,0,0,G,Application,Vehicle Utility,Avionics,F,5,1977,fortran,63,0,0,63,1645.9,cocomoII,4.96,4.05,5.65,3.29,4.68,1.26,1.34,1.14,1,1.63,1.46,1,0.85,0.88,1,0.88,0.91,0.91,1.17,1,0.93,1.11,3/27/77,6/1/80,63,70,0,0,0,0,0,1.913846528,70
94,0,0,G,SFS,System Services,Avionics,F,5,1977,assembly,50,0,0,50,1924.5,cocomoII,4.96,4.05,5.65,3.29,4.68,1.26,1.74,1.14,1,1.63,1.46,1,0.85,0.88,1,0.88,0.91,0.91,1.17,1,0.93,1.11,3/27/77,6/1/80,50,50,0,0,0,0,0,1.299038711,50
95,estimated effort,0,I,Onboard S/W,CUP,Avionics,F,4,1979,Z-80 Assembly,8,0,0,8,62.5,cocomoII,4.96,4.05,5.65,3.29,6.24,1.26,1.17,1.14,1,1.29,1.46,0.87,0.71,1,1,1,0.91,0.91,1.09,1,0.93,1.11,3/27/79,6/1/82,8,8,0,0,0,0,0,6.4,8
96,estimated effort,0,I,Onboard S/W,CFP,Avionics,F,4,1979,assembly,16,0,0,16,127.8,cocomoII,4.96,4.05,5.65,3.29,6.24,1.26,1.17,0.9,1,1.63,1.46,0.87,0.71,1,1,1,0.91,0.91,1.09,1,0.93,1.11,3/27/79,6/1/82,16,16,0,0,0,0,0,6.259780908,16
97,0,0,C,GOS,A&A,Avionics,F,5,1982,Hal/S,5.4375,0,0,5.4375,648,cocomoII,4.96,4.05,5.65,3.29,7.8,1.26,1.34,0.9,1,1.29,1.46,0.87,0.85,1,1,1.1,1.19,1.09,1.09,1,0.93,1.11,5/10/82,1/1/89,5.4375,7.25,0,0,0,0,0,0.419560185,7.25
98,0,0,G,FS,FSU,Avionics,F,5,1980,assembly,233,0,0,233,8211,cocomoII,4.96,4.05,5.65,3.29,4.68,1.26,1.34,1.14,1,1.63,1.46,1,0.85,0.88,1,0.88,0.91,0.91,1.17,1,0.93,1.11,3/27/80,6/1/82,233,233,0,0,0,0,0,1.418828401,233
99,0,0,D,FS ,Attitude Control,Avionics,F,2,1983,Assembly  ,12.225,4.075,0,13.3,480,cocomoII,4.96,4.05,5.65,3.29,6.24,1.1,1.34,1,1,1.29,1.17,1.15,1,1,1,1,1.09,1.09,1.17,1,0.93,1.11,6/1/83,2/1/87,16.3,16.3,0,0,0,0,0,1.385416667,16.3
100,0,0,D,FS ,Exectuve Software,Avionics,F,2,1983,assembly,0.2,6,0,1.7,12,cocomoII,4.96,4.05,5.65,3.29,6.24,1.1,1.34,1,1,1.29,1.17,1.15,1,1,1,1,1.09,1.09,1.17,1,0.93,1.11,6/1/83,2/1/87,6.2,6.2,0,0,0,0,0,7.083333333,6.2
101,0,0,D,FS ,Observatory Support,Science,F,2,1983,assembly,1,2,0,1.5,38,cocomoII,4.96,4.05,5.65,3.29,6.24,1.1,1.34,1,1,1.29,1.17,1.15,1,1,1,1,1.09,1.09,1.17,1,0.93,1.11,6/1/83,2/1/87,3,3,0,0,0,0,0,1.973684211,3
102,estimated effort,0,H,Subsystem Computer,SCU,Science,F,3,1977,assembly,30,0,0,30,61.7,cocomoII,4.96,4.05,5.65,3.29,4.68,1,0.87,1.14,1,1,1.05,0.87,0.71,0.76,1,0.81,1.19,1.2,1.09,1,0.93,1.11,4/1/77,2/1/84,30,30,0,0,0,0,0,24.31118314,30
103,0,0,J,N,I,Monitor & control,G,1,1989,"C, ada",90,0,0,90,631,cocomoII,1.24,4.05,4.95,4.66,4.75,1.05,1.0425,0.95,0.95,1,1,0.87,0.925,0.91,1.1625,1.025,1.045,1,1.045,1,0.895,1.23,1/1/89,10/1/91,90,120,0,0,0,0,0,7.131537242,120
104,0,0,J,N,II,Monitor & control,G,1,1991,C,96,0,0,96,433,cocomoII,0.62,2.03,4.24,3.56,4.48,1,1,1,0.95,1,1,0.87,1,1,0.855,1,1,1,1.09,1,0.895,1,3/1/91,4/1/93,96,128,0,0,0,0,0,11.08545035,128
105,0,0,J,D,I,Monitor & control,G,1,1989,"C, assembly",43.18,0,0,43.18,310,cocomoII,2.17,2.03,6.01,3.84,6.02,1.1,1.1275,1,0.95,1,1,1.15,0.92,0.94,1.06,0.956666667,0.9775,0.996666667,0.9,1.1,0.9475,0.91,8/1/89,8/1/91,43.18,50.8,0,0,0,0,0,6.964516129,50.8
106,0,0,J,D,II,Monitor & control,G,1,1991,C,24,0,0,24,108,cocomoII,2.17,2.03,6.01,3.84,6.02,1.1,1.1275,1,0.95,1,1,1.15,0.86,0.94,1.06,1.036666667,0.9775,0.95,0.9,1,0.9475,0.91,10/1/91,9/1/92,24,32,0,0,0,0,0,11.11111111,32
107,0,0,J,D,III,Monitor & control,G,1,1991,C,28.5,0,0,28.5,164,cocomoII,2.17,2.03,6.01,3.84,6.02,1.1,1.1275,1,0.95,1,1,1.15,1.016666667,0.94,1.06,1.036666667,0.9775,0.95,0.9,1,0.9475,0.91,10/1/91,10/1/93,28.5,38,0,0,0,0,0,8.68902439,38
108,0,0,J,UC,I,Monitor & control,G,1,1992,C++,17.262,67.3218,1.7262,24.529302,153,cocomoII,4.96,4.05,5.65,3.29,2.84,1,1,1,1.07,1,1,1,0.815,0.79,0.81,1.13,1,1,1.11,1,0.86,1.0275,2/1/92,7/1/94,86.31,123.3,0,0,0,0,0,8.016111765,35.04186
109,0,0,J,L,II,Monitor & control,G,1,1992,C,6.54,4.0875,5.7225,10.913625,67,cocomoII,2.48,4.05,5.65,3.29,6.24,0.96,1.17,1,0.95,1,1,1.075,0.8875,0.88,1.205,0.91,0.955,0.9775,1,1,0.895,1.055,10/1/92,12/1/93,16.35,21.8,0,0,0,0,0,8.144496269,14.5515
110,0,0,J,G,II,Monitor & control,G,1,1993,"C, Ada",53.25,88.5,0,60.356715,153,cocomoII,1.24,3.04,2.83,1.65,4.48,1,0.935,1,0.95,1,1,0.87,0.78,0.82,0.855,0.81,0.91,0.91,1.09,1,0.8775,1,9/1/93,12/1/94,141.75,189,0,0,0,0,0,19.72441667,80.47562
111,0,0,J,BR,I,Monitor & control,G,1,1991,"Ada, C",175.5,0,0,175.5,531,cocomoII,2.48,2.03,2.83,1.1,4.68,1.076666667,1.016666667,1,1,1,1,1.006666667,0.93,0.93,1,1.05,1.103333333,1.03,0.936666667,1.08,0.93,1,12/15/91,5/1/95,175.5,234,0,0,0,0,0,16.52542373,234
112,0,0,J,GD,I,Monitor & control,G,1,1993,C,293.775,0,0,293.775,756,cocomoII,2.48,2.03,2.83,1.1,4.68,1.15,1.083333333,1,1,1,1,1.006666667,0.99,0.816666667,1,1.016666667,0.933333333,0.966666667,1.013333333,1.04,0.93,1,2/10/93,7/31/95,293.775,391.7,0,0,0,0,0,19.42956349,391.7
113,0,0,J,BE,I,Monitor & control,G,1,1994,C,80.64,15.36,0,82.0224,196,cocomoII,2.48,2.03,2.83,1.1,4.68,1.15,1.016666667,1,1,1,1,0.99,0.93,0.966666667,1,0.886666667,0.95,1.02,0.83,1.08,0.93,1,2/28/94,9/2/95,96,128,0,0,0,0,0,20.92408163,109.3632
115,0,0,R,G,0,Science,F,3,2001,C,16.383,0,0,16.383,223,CocomoII,4.96,4.05,4.24,2.19,3.19,1.1,1.34,1.14,1,1.29,1,0.87,1,1,1,1,0.91,1,1,1,0.86,1,2001,2003,16.383,21.844,0,0,0,0,0,3.673318386,21.844
116,0,0,R,M,0,Science,F,3,2001,C,50.316,0,0,50.316,724,CocomoII,4.96,4.05,4.24,2.19,3.19,1.1,1.34,1.14,1,1.29,1,0.87,1,1,1,1,0.91,1,1,1,0.86,1,2001,2005,50.316,67.088,0,0,0,0,0,3.474861878,67.088
117,0,0,R,U,0,Science,F,3,2001,C,32.602,0,0,32.602,295,CocomoII,4.96,5.07,4.24,2.19,3.12,1.26,1.34,1.28,1,1.29,1.05,0.87,1,1,1,1,0.91,1,1,1,0.86,1,2001,2005,32.602,43.46933333,0,0,0,0,0,5.525762712,43.46933333
118,0,0,U,A,0,Avionics,F,3,2002,C,13.60725,0,0,13.60725,284,CocomoII,4.96,4.05,4.24,2.19,3.19,1.1,1.34,1.14,1,1.29,1,0.87,1,1,1,1,0.91,1,1,1,0.86,1,2002,2004,13.60725,18.143,0,0,0,0,0,2.395642606,18.143
119,0,0,U,O,0,Avionics,F,3,2004,C,7.969,6.375,1.594,10.206,126,CocomoII,4.96,4.05,4.24,2.19,3.19,1.1,1.34,1.14,1,1.29,1,0.87,1,1,1,1,0.91,1,1,1,0.86,1,2004,2005,15.937,21.24933333,0,0.25,0.25,0.5,0,4.05,13.608
123,0,0,V1,0,0,Avionics Monitoring,G,4,1992,C,0,0,0,64,612,Cocomo II,3.41,2.03,4.64,4.11,4.68,1.74,1.36,1,0.95,1,1,0.87,0.85,0.88,1,1.1,1.09,1.09,1.09,1,0.93,1.11,8/1/92,10/1/96,0,0,0,0,0,0,50,5.22875817,64
124,0,0,V2,0,0,Avionics Monitoring,G,4,1998,C,0,0,0,44.88,89,Cocomo II,0.93,3.38,3.43,1.65,6.24,0.94,1.1,1,1,1,1.05,0.87,0.85,0.88,1,0.88,0.91,0.91,1.17,1,0.87,1,11/1/98,10/1/01,0,0,0,0,0,0,35,25.21348315,44.88
125,0,0,W,0,0,Avionics Monitoring,G,4,1993,C,0,0,0,10.5,24,Cocomo II,4.65,1.01,5.05,1.92,6.24,0.85,1.05,0.9,0.95,1.11,1,0.87,0.85,1,1,1.22,0.91,0.91,1.17,1,0.9,0.91,3/1/93,6/1/96,0,0,0,0,0,0,39,21.875,10.5
"rollup of 21, 22, 23",0,1,D,Flight Dynamics,Attitude,Avionics Monitoring,G,2,1995,"55% comments, fortran?",198.72,0,65.88,104.22,480,cocomoII,2.48,2.03,2.83,1.1,4.68,1.1,1.17,0.9,1,1,1,0.87,1,1,1,1,1,0.91,1.17,1.14,0.93,1,8/1/95,1/1/97,264.6,294,0,0,0,0,0,10.85625,115.8
rollup of 27-32,0,1,D,Ground Software,DCF,DataCapture,G,2,1982,Fortran,66.78,65.88,90.81,144.99,815,cocomoII,2.48,2.03,2.83,1.1,4.68,1,1.17,1.28,1,1.29,1.17,0.87,0.71,1,1,0.88,1.09,0.91,1,1.14,0.93,1,7/1/82,1/1/85,223.47,248.3,0,0,0,0,0,8.895092025,161.1
rollup of 53-55,0,1,G,SVDS Complex,0,Mission Planning,G,5,1979,fortran,333,0,0,333,3240,cocomoII,2.48,2.03,2.83,1.1,7.8,1.1,1.17,1,1,1.11,1.05,0.87,1,1,1,0.88,1,1,1,1,0.93,1,6/15/79,6/15/85,333,370,0,0,0,0,0,5.138888889,370